order_id,item_id,date,price,quantity
1,1,2/3/21,10,5
2,2,2/3/21,20,10
3,3,2/3/21,30,15
4,4,2/3/21,40,20
5,5,2/3/21,50,25
6,1,2/4/21,60,30
7,2,2/4/21,70,35
8,3,2/4/21,10,5
9,4,2/4/21,20,10
10,5,2/4/21,30,15
11,1,2/5/21,40,20
12,2,2/5/21,30,15
13,3,2/5/21,40,20
14,4,2/5/21,50,25
15,5,2/5/21,60,30
16,1,2/6/21,70,35
17,2,2/6/21,10,5
18,3,2/6/21,20,10
19,4,2/6/21,30,15
20,5,2/6/21,40,20
21,1,2/7/21,50,25
22,2,2/7/21,60,30
23,3,2/7/21,10,5
24,4,2/7/21,20,10
25,5,2/7/21,30,15
26,1,2/8/21,40,20
27,2,2/8/21,50,25
28,3,2/8/21,60,30
29,4,2/8/21,70,35
30,5,2/8/21,10,5
31,1,2/9/21,20,10
32,2,2/9/21,30,15
33,3,2/9/21,40,20
34,4,2/9/21,30,15
35,5,2/9/21,40,20
36,1,2/10/21,50,25
37,2,2/10/21,60,30
38,3,2/10/21,70,35
39,4,2/10/21,10,5
40,5,2/10/21,20,10
41,1,2/11/21,30,15
42,2,2/11/21,40,20
43,3,2/11/21,50,25
44,4,2/11/21,60,30
45,5,2/11/21,70,35
46,1,2/12/21,30,15
47,2,2/12/21,40,20
48,3,2/12/21,30,15
49,4,2/12/21,40,20
50,5,2/12/21,50,25
51,1,2/13/21,60,30
52,2,2/13/21,70,35
53,3,2/13/21,10,5
54,4,2/13/21,20,10
55,5,2/13/21,30,15
56,1,2/14/21,40,20
57,2,2/14/21,50,25
58,3,2/14/21,30,15
59,4,2/14/21,40,20
60,5,2/14/21,50,25
61,1,2/15/21,60,30
62,2,2/15/21,70,35
63,3,2/15/21,10,5
64,4,2/15/21,20,10
65,5,2/15/21,30,15
66,1,2/16/21,40,20
67,2,2/16/21,30,15
68,3,2/16/21,40,20
69,4,2/16/21,50,25
70,5,2/16/21,60,30
71,1,2/17/21,70,35
72,2,2/17/21,40,20
73,3,2/17/21,50,25
74,4,2/17/21,10,5
75,5,2/17/21,20,10
76,1,2/18/21,30,15
77,2,2/18/21,40,20
78,3,2/18/21,50,25
79,4,2/18/21,60,30
80,5,2/18/21,70,35
81,1,2/19/21,10,5
82,2,2/19/21,20,10
83,3,2/19/21,30,15
84,4,2/19/21,40,20
85,5,2/19/21,30,15
86,1,2/20/21,40,20
87,2,2/20/21,50,25
88,3,2/20/21,60,30
89,4,2/20/21,70,35
90,5,2/20/21,10,5
91,1,2/21/21,20,10
92,2,2/21/21,30,15
93,3,2/21/21,40,20
94,4,2/21/21,50,25
95,5,2/21/21,60,30
96,1,2/22/21,10,5
97,2,2/22/21,20,10
98,3,2/22/21,30,15
99,4,2/22/21,40,20
100,5,2/22/21,50,25
101,1,2/23/21,60,30
102,2,2/23/21,70,35
103,3,2/23/21,10,5
104,4,2/23/21,20,10
105,5,2/23/21,30,15
106,1,2/24/21,40,20
107,2,2/24/21,30,15
108,3,2/24/21,40,20
109,4,2/24/21,50,25
110,5,2/24/21,60,30
111,1,2/25/21,70,35
112,2,2/25/21,10,5
113,3,2/25/21,20,10
114,4,2/25/21,30,15
115,5,2/25/21,10,5
116,1,2/26/21,20,10
117,2,2/26/21,30,15
118,3,2/26/21,40,20
119,4,2/26/21,50,25
120,5,2/26/21,60,30
121,1,2/27/21,70,35
122,2,2/27/21,10,5
123,3,2/27/21,20,10
124,4,2/27/21,30,15
125,5,2/27/21,40,20
126,1,2/28/21,30,15
127,2,2/28/21,40,20
128,3,2/28/21,50,25
129,4,2/28/21,60,30
130,5,2/28/21,70,35
131,1,3/1/21,10,5
132,2,3/1/21,20,10
133,3,3/1/21,30,15
134,4,3/1/21,40,20
135,5,3/1/21,50,25
136,1,3/2/21,60,30
137,2,3/2/21,10,5
138,3,3/2/21,20,10
139,4,3/2/21,30,15
140,5,3/2/21,40,20
141,1,3/3/21,50,25
142,2,3/3/21,60,30
143,3,3/3/21,70,35
144,4,3/3/21,10,5
145,5,3/3/21,20,10
146,1,3/4/21,30,15
147,2,3/4/21,40,20
148,3,3/4/21,30,15
149,4,3/4/21,40,20
150,5,3/4/21,50,25
151,1,3/5/21,60,30
152,2,3/5/21,70,35
153,3,3/5/21,10,5
154,4,3/5/21,20,10
155,5,3/5/21,30,15
156,1,3/6/21,40,20
157,2,3/6/21,50,25
158,3,3/6/21,60,30
159,4,3/6/21,70,35
160,5,3/6/21,30,15
161,1,3/7/21,40,20
162,2,3/7/21,30,15
163,3,3/7/21,40,20
164,4,3/7/21,50,25
165,5,3/7/21,60,30
166,1,3/8/21,70,35
167,2,3/8/21,10,5
168,3,3/8/21,20,10
169,4,3/8/21,30,15
170,5,3/8/21,40,20
171,1,3/9/21,50,25
172,2,3/9/21,30,15
173,3,3/9/21,40,20
174,4,3/9/21,50,25
175,5,3/9/21,60,30
176,1,3/10/21,70,35
177,2,3/10/21,10,5
178,3,3/10/21,20,10
179,4,3/10/21,30,15
180,5,3/10/21,40,20
181,1,3/11/21,30,15
182,2,3/11/21,40,20
183,3,3/11/21,50,25
184,4,3/11/21,60,30
185,5,3/11/21,70,35
186,1,3/12/21,40,20
187,2,3/12/21,50,25
188,3,3/12/21,40,20
189,4,3/12/21,50,25
190,5,3/12/21,60,30
191,1,3/13/21,70,35
192,2,3/13/21,10,5
193,3,3/13/21,20,10
194,4,3/13/21,30,15
195,5,3/13/21,40,20
196,1,3/14/21,30,15
197,2,3/14/21,40,20
198,3,3/14/21,50,25
199,4,3/14/21,60,30
200,5,3/14/21,70,35
201,1,3/15/21,10,5
202,2,3/15/21,20,10
203,3,3/15/21,30,15
204,4,3/15/21,40,20
205,5,3/15/21,50,25
206,1,3/16/21,60,30
207,2,3/16/21,10,5
208,3,3/16/21,20,10
209,4,3/16/21,30,15
210,5,3/16/21,40,20
211,1,3/17/21,50,25
212,2,3/17/21,60,30
213,3,3/17/21,70,35
214,4,3/17/21,10,5
215,5,3/17/21,20,10
216,1,3/18/21,30,15
217,2,3/18/21,40,20
218,3,3/18/21,30,15
219,4,3/18/21,40,20
220,5,3/18/21,50,25
221,1,3/19/21,60,30
222,2,3/19/21,70,35
223,3,3/19/21,10,5
224,4,3/19/21,20,10
225,5,3/19/21,30,15
226,1,3/20/21,40,20
227,2,3/20/21,50,25
228,3,3/20/21,60,30
229,4,3/20/21,70,35
230,5,3/20/21,30,15
231,1,3/21/21,40,20
232,2,3/21/21,30,15
233,3,3/21/21,40,20
234,4,3/21/21,50,25
235,5,3/21/21,60,30
236,1,3/22/21,70,35
237,2,3/22/21,10,5
238,3,3/22/21,20,10
239,4,3/22/21,30,15
240,5,3/22/21,40,20
241,1,3/23/21,50,25
242,2,3/23/21,30,15
243,3,3/23/21,40,20
244,4,3/23/21,50,25
245,5,3/23/21,60,30
246,1,3/24/21,70,35
247,2,3/24/21,10,5
248,3,3/24/21,20,10
249,4,3/24/21,30,15
250,5,3/24/21,40,20
251,1,3/25/21,10,5
252,2,3/25/21,20,10
253,3,3/25/21,30,15
254,4,3/25/21,40,20
255,5,3/25/21,50,25
256,1,3/26/21,60,30
257,2,3/26/21,70,35
258,3,3/26/21,10,5
259,4,3/26/21,20,10
260,5,3/26/21,30,15
261,1,3/27/21,40,20
262,2,3/27/21,30,15
263,3,3/27/21,40,20
264,4,3/27/21,50,25
265,5,3/27/21,60,30
266,1,3/28/21,70,35
267,2,3/28/21,10,5
268,3,3/28/21,20,10
269,4,3/28/21,30,15
270,5,3/28/21,40,20
271,1,3/29/21,50,25
272,2,3/29/21,60,30
273,3,3/29/21,10,5
274,4,3/29/21,20,10
275,5,3/29/21,30,15
276,1,3/30/21,40,20
277,2,3/30/21,50,25
278,3,3/30/21,60,30
279,4,3/30/21,70,35
280,5,3/30/21,10,5
281,1,3/31/21,20,10
282,2,3/31/21,30,15
283,3,3/31/21,40,20
284,4,3/31/21,30,15
285,5,3/31/21,40,20
286,1,4/1/21,50,25
287,2,4/1/21,60,30
288,3,4/1/21,70,35
289,4,4/1/21,10,5
290,5,4/1/21,20,10
291,1,4/2/21,30,15
292,2,4/2/21,40,20
293,3,4/2/21,50,25
294,4,4/2/21,60,30
295,5,4/2/21,70,35
296,1,4/3/21,30,15
297,2,4/3/21,40,20
298,3,4/3/21,30,15
299,4,4/3/21,40,20
300,5,4/3/21,50,25
301,1,4/4/21,60,30
302,2,4/4/21,70,35
303,3,4/4/21,10,5
304,4,4/4/21,20,10
305,5,4/4/21,30,15
306,1,4/5/21,40,20
307,2,4/5/21,50,25
308,3,4/5/21,30,15
309,4,4/5/21,40,20
310,5,4/5/21,50,25
311,1,4/6/21,60,30
312,2,4/6/21,70,35
313,3,4/6/21,10,5
314,4,4/6/21,20,10
315,5,4/6/21,10,5
316,1,4/7/21,20,10
317,2,4/7/21,30,15
318,3,4/7/21,40,20
319,4,4/7/21,50,25
320,5,4/7/21,60,30
321,1,4/8/21,70,35
322,2,4/8/21,10,5
323,3,4/8/21,20,10
324,4,4/8/21,30,15
325,5,4/8/21,40,20
326,1,4/9/21,30,15
327,2,4/9/21,40,20
328,3,4/9/21,50,25
329,4,4/9/21,60,30
330,5,4/9/21,70,35
331,1,4/10/21,10,5
332,2,4/10/21,20,10
333,3,4/10/21,30,15
334,4,4/10/21,40,20
335,5,4/10/21,50,25
336,1,4/11/21,60,30
337,2,4/11/21,10,5
338,3,4/11/21,20,10
339,4,4/11/21,30,15
340,5,4/11/21,40,20
341,1,4/12/21,50,25
342,2,4/12/21,60,30
343,3,4/12/21,70,35
344,4,4/12/21,10,5
345,5,4/12/21,20,10
346,1,4/13/21,30,15
347,2,4/13/21,40,20
348,3,4/13/21,30,15
349,4,4/13/21,40,20
350,5,4/13/21,50,25
351,1,4/14/21,60,30
352,2,4/14/21,70,35
353,3,4/14/21,10,5
354,4,4/14/21,20,10
355,5,4/14/21,30,15
356,1,4/15/21,40,20
357,2,4/15/21,50,25
358,3,4/15/21,60,30
359,4,4/15/21,70,35
360,5,4/15/21,30,15
361,1,4/16/21,40,20
362,2,4/16/21,30,15
363,3,4/16/21,40,20
364,4,4/16/21,50,25
365,5,4/16/21,60,30
366,1,4/17/21,70,35
367,2,4/17/21,10,5
368,3,4/17/21,20,10
369,4,4/17/21,30,15
370,5,4/17/21,40,20
371,1,4/18/21,50,25
372,2,4/18/21,30,15
373,3,4/18/21,40,20
374,4,4/18/21,50,25
375,5,4/18/21,60,30
376,1,4/19/21,70,35
377,2,4/19/21,10,5
378,3,4/19/21,20,10
379,4,4/19/21,30,15
380,5,4/19/21,10,5
381,1,4/20/21,20,10
382,2,4/20/21,30,15
383,3,4/20/21,40,20
384,4,4/20/21,50,25
385,5,4/20/21,60,30
386,1,4/21/21,70,35
387,2,4/21/21,10,5
388,3,4/21/21,20,10
389,4,4/21/21,30,15
390,5,4/21/21,40,20
391,1,4/22/21,30,15
392,2,4/22/21,40,20
393,3,4/22/21,50,25
394,4,4/22/21,60,30
395,5,4/22/21,70,35
396,1,4/23/21,10,5
397,2,4/23/21,20,10
398,3,4/23/21,30,15
399,4,4/23/21,40,20
400,5,4/23/21,50,25
401,1,4/24/21,60,30
402,2,4/24/21,10,5
403,3,4/24/21,20,10
404,4,4/24/21,30,15
405,5,4/24/21,40,20
406,1,4/25/21,50,25
407,2,4/25/21,60,30
408,3,4/25/21,70,35
409,4,4/25/21,10,5
410,5,4/25/21,20,10
411,1,4/26/21,30,15
412,2,4/26/21,40,20
413,3,4/26/21,30,15
414,4,4/26/21,40,20
415,5,4/26/21,50,25
416,1,4/27/21,60,30
417,2,4/27/21,70,35
418,3,4/27/21,10,5
419,4,4/27/21,20,10
420,5,4/27/21,30,15
421,1,4/28/21,40,20
422,2,4/28/21,50,25
423,3,4/28/21,60,30
424,4,4/28/21,70,35
425,5,4/28/21,30,15
426,1,4/29/21,40,20
427,2,4/29/21,30,15
428,3,4/29/21,40,20
429,4,4/29/21,50,25
430,5,4/29/21,60,30
431,1,4/30/21,70,35
432,2,4/30/21,10,5
433,3,4/30/21,20,10
434,4,4/30/21,30,15
435,5,4/30/21,40,20
436,1,5/1/21,50,25
437,2,5/1/21,30,15
438,3,5/1/21,40,20
439,4,5/1/21,50,25
440,5,5/1/21,60,30
441,1,5/2/21,70,35
442,2,5/2/21,10,5
443,3,5/2/21,20,10
444,4,5/2/21,30,15
445,5,5/2/21,40,20
446,1,5/3/21,30,15
447,2,5/3/21,40,20
448,3,5/3/21,50,25
449,4,5/3/21,60,30
450,5,5/3/21,70,35